LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AU,HUR,TOT,PC_LF,M,2012-02,5.196211,
AU,HUR,TOT,PC_LF,M,2012-03,5.181503,
AU,HUR,TOT,PC_LF,M,2012-04,4.991562,
AU,HUR,TOT,PC_LF,M,2012-05,5.196276,
AU,HUR,TOT,PC_LF,M,2012-06,5.164532,
AU,HUR,TOT,PC_LF,M,2012-07,5.177382,
AU,HUR,TOT,PC_LF,M,2012-08,5.158165,
AU,HUR,TOT,PC_LF,M,2012-09,5.489397,
AU,HUR,TOT,PC_LF,M,2012-10,5.411871,
AU,HUR,TOT,PC_LF,M,2012-11,5.25841,
AU,HUR,TOT,PC_LF,M,2012-12,5.433622,
AU,HUR,TOT,PC_LF,M,2013-01,5.386067,
AU,HUR,TOT,PC_LF,M,2013-02,5.401582,
AU,HUR,TOT,PC_LF,M,2013-03,5.637903,
AU,HUR,TOT,PC_LF,M,2013-04,5.58426,
AU,HUR,TOT,PC_LF,M,2013-05,5.604612,
AU,HUR,TOT,PC_LF,M,2013-06,5.697548,
AU,HUR,TOT,PC_LF,M,2013-07,5.629797,
AU,HUR,TOT,PC_LF,M,2013-08,5.84482,
AU,HUR,TOT,PC_LF,M,2013-09,5.70667,
AU,HUR,TOT,PC_LF,M,2013-10,5.826766,
AU,HUR,TOT,PC_LF,M,2013-11,5.799818,
AU,HUR,TOT,PC_LF,M,2013-12,5.902731,
AU,HUR,TOT,PC_LF,M,2014-01,5.938527,
AU,HUR,TOT,PC_LF,M,2014-02,5.888213,
AU,HUR,TOT,PC_LF,M,2014-03,5.872021,
AU,HUR,TOT,PC_LF,M,2014-04,5.799354,
AU,HUR,TOT,PC_LF,M,2014-05,5.923842,
AU,HUR,TOT,PC_LF,M,2014-06,6.0494,
AU,HUR,TOT,PC_LF,M,2014-07,6.182238,
AU,HUR,TOT,PC_LF,M,2014-08,6.102115,
AU,HUR,TOT,PC_LF,M,2014-09,6.2276,
AU,HUR,TOT,PC_LF,M,2014-10,6.364314,
AU,HUR,TOT,PC_LF,M,2014-11,6.302996,
AU,HUR,TOT,PC_LF,M,2014-12,6.108437,
AU,HUR,TOT,PC_LF,M,2015-01,6.340614,
AU,HUR,TOT,PC_LF,M,2015-02,6.150929,
AU,HUR,TOT,PC_LF,M,2015-03,6.09966,
AU,HUR,TOT,PC_LF,M,2015-04,6.105909,
AU,HUR,TOT,PC_LF,M,2015-05,5.924971,
AU,HUR,TOT,PC_LF,M,2015-06,6.006523,
AU,HUR,TOT,PC_LF,M,2015-07,6.283457,
AU,HUR,TOT,PC_LF,M,2015-08,6.092948,
AU,HUR,TOT,PC_LF,M,2015-09,6.164658,
AU,HUR,TOT,PC_LF,M,2015-10,5.92216,
AU,HUR,TOT,PC_LF,M,2015-11,5.859151,
AU,HUR,TOT,PC_LF,M,2015-12,5.745385,
AU,HUR,TOT,PC_LF,M,2016-01,6.028202,
AU,HUR,TOT,PC_LF,M,2016-02,5.693503,
AU,HUR,TOT,PC_LF,M,2016-03,5.648399,
AU,HUR,TOT,PC_LF,M,2016-04,5.638197,
AU,HUR,TOT,PC_LF,M,2016-05,5.71443,
AU,HUR,TOT,PC_LF,M,2016-06,5.694621,
AU,HUR,TOT,PC_LF,M,2016-07,5.702927,
AU,HUR,TOT,PC_LF,M,2016-08,5.615925,
